,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135,labeled_encoded
324,24.0366028708084,25.57713675213967,27.56647573108564,28.26785714286044,0.8438723046541732,0.826027330726759,0.7949820528908347,0.7828130745997488,0.0553194018528612,0.0523656627938928,0.0505848854343973,0.0486377348448099,1137.9158492820636,1261.3425213675173,1483.9524268919088,1574.7101648351468,0.0001007526513243,9.61189044980244e-05,9.381695360023328e-05,9.347405409676382e-05,0.0100375620209483,0.0098040249131682,0.0096859152174811,0.0096681980791026,2
325,40.985365853658976,41.7793040293044,42.386956521737964,45.03846153846191,0.033452140772122,0.033250908705377,-0.0064385026254037,-0.1232204967277807,0.0348401588983072,0.0347619819692285,0.0325388907848785,0.0314315753997032,3300.2178861789243,3278.1804029304,3378.7434782607857,3798.8351648351663,0.0005724106021548,0.0006113392102403,0.0005916824196597,0.0006109199103704,0.0239251040155484,0.0247252747252749,0.0243245230099112,0.0247167940957251,2
326,42.19283865401034,46.517552182162014,45.32139577594208,47.81546489563405,0.3022290906688306,0.1906583665326474,0.2198443718551662,0.1381361149827816,0.0386323612086294,0.0413995535051872,0.0453473814086115,0.0434892183536514,4389.147972389832,5194.724383301523,4945.694214876099,5459.073529411594,0.0003746423868125,0.0003904435618894,0.0004049595209124,0.0004034958538719,0.0193556809958361,0.0197596447814592,0.020123606061351,0.0200872062236619,2
327,73.36992579659014,73.09120370370816,63.81581311769735,74.21134259259765,0.1345499209677434,0.1598266695845622,0.3051297101743125,0.1371182281855224,0.0306545671919971,0.0354185669131537,0.0462076076121081,0.0320961707710085,10114.451549541158,9987.20092592652,8267.941599280904,10271.324768519138,0.0001966446427207,0.0002170138888889,0.0002230036431327,0.0002150312928669,0.0140230040547916,0.0147313912747202,0.0149333065036777,0.0146639453376966,2
328,20.764342857143365,26.06806344697257,26.680701754386742,26.398674242427116,0.6830713755765787,0.5517353831861302,0.5342549587703627,0.5350512432573538,0.0696334560766688,0.0541949691240863,0.0534933909263714,0.0541811968298058,931.0315428571274,1321.8937026516555,1369.4509941520876,1371.5769412880238,0.0002233420408163,0.0001899957437927,0.0001840908313669,0.0001879027395537,0.0149446325085743,0.0137838943623608,0.0135680076417623,0.013707762018425,2
329,27.22541590453822,28.573303167419315,29.977434257286305,29.754841628957905,0.2419887651043269,0.1600866282607376,0.0884591439096505,0.1130756213424159,0.040281049024121,0.0400546637078434,0.0364581394545778,0.0351412762832388,1287.4069331939445,1427.2384615383792,1558.5012437811756,1506.489683257833,0.0001615352179662,0.0001594029606273,0.0001560093481218,0.0001560901701439,0.0127096505839565,0.0126254885302434,0.0124903702155633,0.0124936051700022,2
330,26.93294763387881,29.971971066909465,30.243660287077827,31.251717902352407,0.6055005707778967,0.5118121158097746,0.5074873741337745,0.4703336887183134,0.0636831551536298,0.0597203144675231,0.0547279102762688,0.0541330025198706,1840.76938139724,2263.059523809631,2271.231608851376,2455.298131404565,0.00013869707457,0.000138312548755,0.0001253849151018,0.0001171624781408,0.0117769722157277,0.0117606355591439,0.0111975405827262,0.0108241617754389,2
331,23.70574052812945,23.81715070643674,23.18585271317633,24.152472527472884,0.2655071490247028,0.2527116112883378,0.2808417574045143,0.2276724575272003,0.0538678024088383,0.0527731300284548,0.0544601396891105,0.0534461090750902,1057.5884041332672,1065.1754709576317,1017.1341472867474,1099.206632653074,0.0001839327018825,0.0001868943598451,0.0001902642569556,0.0001851245721087,0.0135621790978653,0.0136709311989029,0.013793631028692,0.0136060490998954,2
332,55.71965628356822,58.114705882355466,49.70875420875533,51.33882352941415,0.3066561240996145,0.2127254723225281,0.4095707992717339,0.384993532712691,0.0269139841878453,0.0253555031984066,0.0284038774599016,0.0312600387224357,5140.535982814356,5802.141764706194,4339.703142536505,4554.39176470611,0.0003185710939924,0.000338062283737,0.0003330159054064,0.0003427335640138,0.0178485599977276,0.0183864701271626,0.018248723391144,0.0185130646845373,2
333,32.359968102073914,34.84912376780106,32.4919589854314,33.20498357064851,0.5543874352772249,0.507668287581711,0.5866729230667082,0.5581687045084659,0.0441126671657945,0.0437228123793265,0.0429588317436241,0.0453264383951867,2186.144657097285,2441.923713034123,2058.731570426522,2193.254600219227,0.000134372065036,0.0001269406011979,0.0001305099095441,0.0001304106198767,0.0115918965245574,0.0112667919656838,0.0114240933795278,0.0114197469269994,2
334,32.359968102073914,34.84912376780106,32.4919589854314,33.20498357064851,0.5543874352772249,0.507668287581711,0.5866729230667082,0.5581687045084659,0.0441126671657945,0.0437228123793265,0.0429588317436241,0.0453264383951867,2186.144657097285,2441.923713034123,2058.731570426522,2193.254600219227,0.000134372065036,0.0001269406011979,0.0001305099095441,0.0001304106198767,0.0115918965245574,0.0112667919656838,0.0114240933795278,0.0114197469269994,2
335,31.542025955927507,40.65013574660437,45.155028429286936,44.92470588235032,0.6550954915852031,0.4540672812154155,0.3443315222660525,0.3563619309436969,0.049623582762981,0.0398341459841214,0.034878960530713,0.0380551093208987,2189.88624684256,3438.5098642532503,4096.8025053309175,4056.4085067871306,0.0001323196667445,0.0001184496631928,0.0001111387043865,0.0001137159353821,0.0115030285900957,0.0108834582368291,0.0105422343166194,0.0106637674103552,2
336,50.84687179485636,60.53868465195082,60.23206896550549,59.76597008667209,0.2748105995755925,0.1128892207789968,0.1214725918384469,0.1297863292066391,0.0923320235731843,0.0559548763070655,0.0568537584073383,0.0569112272636087,5454.72208546814,6707.792318983003,6643.693931033142,6580.935036343858,0.0006488298633936,0.0003265661438997,0.0003425594530319,0.000360382641631,0.0254721389638498,0.0180711411897474,0.0185083617057791,0.0189837467753613,2
337,50.84687179485636,60.53868465195082,60.23206896550549,59.76597008667209,0.2748105995755925,0.1128892207789968,0.1214725918384469,0.1297863292066391,0.0923320235731843,0.0559548763070655,0.0568537584073383,0.0569112272636087,5454.72208546814,6707.792318983003,6643.693931033142,6580.935036343858,0.0006488298633936,0.0003265661438997,0.0003425594530319,0.000360382641631,0.0254721389638498,0.0180711411897474,0.0185083617057791,0.0189837467753613,2
